,year,make,model,trim,mileage,AWD/FWD,price
378,2015,Ford,Edge,SEL,46917,AWD,20990
379,2015,Ford,Edge,Titanium,82075,AWD,19995
380,2015,Ford,Edge,Titanium,71179,AWD,19999
381,2015,Ford,Edge,SEL,77774,AWD,17999
382,2015,Ford,Edge,Sport,40941,AWD,25560
383,2015,Ford,Edge,SEL,63102,FWD,17931
384,2015,Ford,Edge,Titanium,88932,AWD,19880
385,2015,Ford,Edge,SE,67593,FWD,14816
386,2015,Ford,Edge,SEL,75192,AWD,17998
387,2015,Ford,Edge,SEL,56414,AWD,18000
388,2015,Ford,Edge,SEL,35077,FWD,17977
389,2015,Ford,Edge,SEL,30002,AWD,17958
390,2015,Ford,Edge,SEL,50586,AWD,18727
391,2015,Ford,Edge,Sport,41503,AWD,26900
392,2015,Ford,Edge,SEL,67474,AWD,17995
393,2015,Ford,Edge,Sport,41105,AWD,24199
394,2015,Ford,Edge,SEL,70796,FWD,17950
395,2015,Ford,Edge,Titanium,40952,FWD,19995
396,2015,Ford,Edge,Titanium,66000,AWD,19995
397,2015,Ford,Edge,SEL,47178,AWD,
398,2015,Ford,Edge,SEL,82523,AWD,17995
399,2015,Ford,Edge,SEL,47300,AWD,20995
400,2015,Ford,Edge,SEL,12920,AWD,18100
401,2015,Ford,Edge,SEL,98271,AWD,17999
402,2015,Ford,Edge,Titanium,80506,AWD,19977
403,2015,Ford,Edge,SE,78000,FWD,14850
404,2015,Ford,Edge,SEL,53410,FWD,17995
405,2015,Ford,Edge,SEL,48876,AWD,18997
406,2015,Ford,Edge,SEL,71121,AWD,17995
407,2015,Ford,Edge,SEL,79800,AWD,18000
408,2015,Ford,Edge,SEL,41904,FWD,
409,2015,Ford,Edge,Titanium,53728,AWD,23850
410,2015,Ford,Edge,Sport,26024,AWD,23880
411,2015,Ford,Edge,Titanium,52904,AWD,
412,2015,Ford,Edge,Titanium,52904,AWD,22500
413,2015,Ford,Edge,SE,46006,FWD,14998
414,2015,Ford,Edge,SE,89932,AWD,14995
415,2015,Ford,Edge,Sport,52976,FWD,22502
416,2015,Ford,Edge,SE,73023,FWD,14999
417,2015,Ford,Edge,SEL,47451,AWD,23995
418,2015,Ford,Edge,SEL,85079,AWD,18291
419,2015,Ford,Edge,Titanium,49743,AWD,
420,2015,Ford,Edge,SEL,39314,AWD,18300
421,2015,Ford,Edge,SE,85378,AWD,14975
422,2015,Ford,Edge,Titanium,52113,AWD,20877
423,2015,Ford,Edge,SE,70885,FWD,14995
424,2015,Ford,Edge,SEL,66580,AWD,18372
425,2015,Ford,Edge,SEL,73073,AWD,18200
426,2015,Ford,Edge,SEL,69161,AWD,18200
427,2015,Ford,Edge,Sport,54605,AWD,22500
428,2015,Ford,Edge,SEL,33936,AWD,
429,2015,Ford,Edge,SEL,67995,FWD,
430,2015,Ford,Edge,Sport,56778,AWD,
431,2015,Ford,Edge,SEL,155378,FWD,12000
432,2015,Ford,Edge,SEL,23369,FWD,
433,2015,Ford,Edge,SEL,24912,AWD,
434,2015,Ford,Edge,SEL,62380,FWD,18800
435,2015,Ford,Edge,SEL,56244,AWD,19495
436,2015,Ford,Edge,SEL,76405,AWD,19528
437,2015,Ford,Edge,SE,64287,AWD,15995
438,2015,Ford,Edge,Titanium,60533,AWD,20500
439,2015,Ford,Edge,SE,61350,AWD,15500
440,2015,Ford,Edge,Titanium,90988,FWD,16482
441,2015,Ford,Edge,Titanium,90988,FWD,16482
442,2015,Ford,Edge,Titanium,79405,AWD,20595
443,2015,Ford,Edge,SEL,65605,AWD,18445
444,2015,Ford,Edge,Sport,52114,AWD,22900
445,2015,Ford,Edge,Sport,32739,AWD,23000
446,2015,Ford,Edge,SEL,55477,AWD,18500
447,2015,Ford,Edge,SEL,27352,FWD,18499
448,2015,Ford,Edge,SEL,48689,AWD,20995
449,2015,Ford,Edge,SEL,48402,AWD,19897
450,2015,Ford,Edge,SEL,65157,AWD,18595
451,2015,Ford,Edge,SEL,48247,AWD,19995
452,2015,Ford,Edge,SEL,71007,FWD,18495
453,2015,Ford,Edge,SEL,52596,FWD,16977
454,2015,Ford,Edge,SE,46804,AWD,13995
455,2015,Ford,Edge,SEL,Miles,AWD,
456,2015,Ford,Edge,SE,74177,AWD,169998
457,2015,Ford,Edge,SEL,34910,FWD,20391
458,2015,Ford,Edge,SE,24744,FWD,16700
459,2015,Ford,Edge,Titanium,35856,AWD,22998
460,2015,Ford,Edge,SEL,78140,FWD,
461,2015,Ford,Edge,SEL,126665,AWD,
462,2015,Ford,Edge,SEL,114539,AWD,13999
463,2015,Ford,Edge,SEL,33529,FWD,20560
464,2015,Ford,Edge,Titanium,63900,AWD,21750
465,2015,Ford,Edge,SEL,4618,AWD,23693
466,2015,Ford,Edge,Sport,64400,AWD,45785
467,2015,Ford,Edge,SE,29863,FWD,20395
468,2015,Ford,Edge,Sport,23636,AWD,25999
469,2015,Ford,Edge,SEL,38608,AWD,22987
