,0,1,2,3,4,5,6,7
341,2018,Ford,Edge,Titanium,AWD,33685,30007,
342,2016,Ford,Edge,SEL,AWD,38554,24995,
343,2018,Ford,Edge,Titanium,AWD,27124,28485,
344,2018,Ford,Edge,Titanium,FWD,45738,25998,
345,2017,Ford,Edge,SEL,AWD,20980,27998,
346,2016,Ford,Edge,Sport,AWD,32506,28178,
347,2016,Ford,Edge,Titanium,FWD,31259,25988,
348,2016,Ford,Edge,Sport,AWD,49050,27950,
349,2017,Ford,Edge,SEL,AWD,19716,27991,
350,2016,Ford,Edge,Titanium,FWD,35239,25500,
351,2017,Ford,Edge,Sport,AWD,25000,29950,
352,2013,Ford,Edge,Sport,AWD,81962,19733,
353,2016,Ford,Edge,SEL,AWD,28865,24995,
354,2016,Ford,Edge,SEL,AWD,38187,24990,
355,2016,Ford,Edge,SEL,AWD,37409,25483,
356,2016,Ford,Edge,Sport,AWD,30945,28895,
357,2018,Ford,Edge,Titanium,AWD,9576,31988,
358,2017,Ford,Edge,SEL,AWD,28590,26653,
359,2016,Ford,Edge,SEL,FWD,45158,24995,
360,2018,Ford,Edge,Titanium,AWD,32175,27993,
361,2010,Ford,Edge,SEL,AWD,136489,13277,
362,2016,Ford,Edge,Titanium,FWD,33961,25995,
363,2016,Ford,Edge,Sport,AWD,33619,28900,
364,2016,Ford,Edge,SEL,AWD,19792,26500,
365,2015,Ford,Edge,Titanium,AWD,73992,21991,
366,2014,Ford,Edge,Sport,AWD,62833,23000,
367,2017,Ford,Edge,SEL,AWD,69681,22988,
368,2015,Ford,Edge,SEL,AWD,34561,24991,
369,2017,Ford,Edge,Titanium,AWD,37174,26750,
370,2016,Ford,Edge,SEL,AWD,53773,24500,
371,2018,Ford,Edge,Titanium,FWD,19278,28651,
372,2015,Ford,Edge,SEL,AWD,43241,22328,
373,2016,Ford,Edge,SEL,AWD,29890,24995,
374,2018,Ford,Edge,Titanium,AWD,9953,30970,
375,2016,Ford,Edge,Sport,AWD,55196,25000,
376,2018,Ford,Edge,Titanium,FWD,33858,25999,
377,2018,Ford,Edge,Titanium,FWD,48575,24999,
378,2018,Ford,Edge,Titanium,AWD,29111,28000,
379,2016,Ford,Edge,Sport,AWD,27266,28977,
380,2016,Ford,Edge,Titanium,AWD,69199,22998,
381,2016,Ford,Edge,Titanium,AWD,22466,27885,
382,2016,Ford,Edge,SEL,AWD,49782,23690,
